name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,
Albania,3520.664595,4157.001473,3755.969576,3769.228415,4341.498334,4452.584763,4597.326023,4621.446951,4885.194888,5192.723472,5370.659211,5754.272408,6116.631213,6759.677824,7177.47131,7315.210424,7364.711628
Algeria,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,
Angola,1869.258976,2207.879105,2175.700021,1923.855772,2284.811819,1737.9089,1620.657261,1886.028176,1877.934349,2001.656744,2411.351421,2915.724622,3317.00592,3740.60284,3193.547263,3990.749607,4214.452272
Antigua and Barbuda,12144.06568,12370.63752,12704.68526,13129.76616,13395.57133,13383.40576,13300.47378,13769.86847,13628.42976,14049.69056,14030.8824,14697.20556,16045.80343,16469.8284,14901.88751,13316.21569,12908.97233
Argentina,9078.43792,11681.26254,11775.56327,11560.17403,10594.15893,10176.36078,9364.220786,8663.473708,9014.027262,9436.512999,9956.502839,10772.07352,11600.91437,12427.66365,12368.28929,13359.26153,14507.61821
Armenia,2396.684936,2567.121488,2447.912023,2492.892728,2508.167046,2603.835389,2830.990283,3158.905406,3547.855493,3883.394331,4358.694754,4850.054639,5447.214284,5613.430291,4835.21892,5002.146796,5235.03934
Australia,27463.3055,28405.39192,29473.04943,30442.31193,31649.65523,31808.55172,32638.42361,33289.36325,34283.10602,34903.01185,35506.28151,36070.07071,36530.11368,36205.83693,36078.83362,37583.89585,38499.2731
Austria,27471.42781,27985.95699,28965.3742,30628.06321,31812.37675,32914.96465,32194.13449,32790.57935,32634.38802,33365.86957,33234.00888,34701.82002,35832.71218,36413.03064,35433.49137,36637.68159,37282.53219
Azerbaijan,2097.667933,2028.69264,2048.773728,1972.557811,2126.791622,2528.23075,2781.901942,2772.026755,2893.742629,3067.29515,4327.202365,5996.633485,7696.197443,9445.69301,7875.910939,8922.561896,9317.07582
Bahamas,17332.9058,19875.80794,20711.00674,22630.56747,24358.72668,24837.23105,24068.00491,25912.78085,24667.35404,23722.74689,24526.52568,23835.91512,24352.37646,23044.10009,20779.71386,20281.61019,19366.61246
Bahrain,13433.23188,12854.87611,12581.05117,11902.71352,12662.80119,15795.1597,15871.55045,18297.27422,21599.96647,24655.8219,28657.44293,30310.88919,29684.49647,26661.65335,22350.3641,22032.49787,20676.15532
Bangladesh,1338.557419,1343.356322,1285.302368,1244.605503,1193.445784,1167.003999,1158.982656,1171.085862,1173.200223,1178.730077,1191.658199,1242.461979,1313.635147,1359.76433,1420.931508,1489.311117,1554.206586
Barbados,17136.8097,19308.07832,20761.36922,20963.98489,22032.76201,22873.81115,21530.84867,21365.16784,22307.08637,22312.7259,24091.5712,25181.54071,25503.32133,23593.97138,23161.33063,21406.53397,20642.24426
Belarus,6597.258502,6822.060382,6877.607519,7011.421417,7002.86828,7164.235896,7437.16742,7603.257253,7818.209358,8331.302148,9106.811467,10237.74703,11307.32326,13041.82282,12618.84563,13598.65343,15352.87864
Belgium,26120.05875,26172.59666,27685.63579,28587.67967,29682.31921,31589.38443,31735.79625,32457.04735,31523.12147,31763.96433,31678.71115,32450.96142,33661.99259,34297.3664,33672.06056,35216.7418,35446.26558
Belize,6356.21626,5711.672418,5621.950064,5729.004457,5790.492713,6154.064932,6440.745913,6723.79112,6948.391982,7005.188673,7054.448517,7131.286118,7293.83735,7052.388887,7091.794394,7312.661464,7366.639727
Benin,1025.560141,1067.707953,1096.65866,1101.353275,1136.059853,1174.383227,1174.23922,1187.243295,1222.296297,1229.042171,1206.023743,1225.729812,1233.329859,1253.477417,1240.79565,1223.165306,1231.879442
Bermuda,29125.44777,30279.1393,30942.28987,31517.17472,32322.67519,33073.42748,36053.01188,36509.83853,37330.48038,37864.2148,38334.46755,40365.67383,41519.0917,41749.39488,39632.35109,38783.79901,38923.08432
Bhutan,2363.897449,2485.390623,2607.339623,2675.368759,2873.808676,3048.404235,3189.830639,3505.16137,3589.844366,3707.174679,3978.13505,3782.192167,4327.468019,4405.706477,4679.727621,4796.978879,4607.016833
Bolivia,2587.422502,2784.836346,2798.563551,2816.416356,2807.411077,2813.755229,2845.265572,2892.797913,3019.591199,3204.612659,3310.769757,3549.488098,3597.796288,3794.527647,3709.415138,3970.216308,4166.778752
Bosnia and Herzegovina,1694.997697,2496.225616,3598.063243,4637.115185,5107.873968,4939.535486,4991.025682,5140.699457,5263.773945,5392.271089,5695.537765,6311.465787,6909.503857,7368.398132,7402.325829,7577.457473,7580.589869
Botswana,6600.530211,7361.653052,7545.621368,7782.588944,8658.676656,8128.860308,9423.881292,9396.083043,8848.690577,9688.461377,9092.852939,10499.21986,11148.56789,12879.14577,9754.923882,11419.20424,11810.75107
Brazil,7593.732359,9019.808683,8571.700316,8067.100911,7579.524189,7528.165897,7330.311518,7301.968288,7157.683187,7423.673956,7439.413872,7718.673833,8131.146302,8526.360813,8402.178439,9002.070543,9294.532912
Brunei,32210.26926,39611.92731,35022.19322,30008.84391,33858.34395,41300.88722,39434.89865,39703.34868,42505.61985,47668.90784,55935.34465,63608.01924,60836.23279,70706.01386,53744.56566,56899.94332,67543.78709
Bulgaria,7096.453607,6337.923513,6014.400274,6600.172077,6890.360941,7372.049486,7669.809951,8233.449532,8440.932506,8841.323998,9006.532885,9805.287342,10852.29966,11832.02902,12007.50908,12559.86483,12906.67176
Burkina Faso,606.4875824,651.6233277,675.6891606,716.7006818,736.4617558,721.1285055,746.4378552,760.3920275,799.4210362,814.4157455,850.9177108,874.8158708,879.8431676,907.8267352,926.342641,1022.137552,1051.51522
Burundi,418.5605069,408.6242548,506.1005144,478.3050295,466.4767343,447.5906926,452.3076499,448.4581427,455.6619159,473.3654206,435.8786924,433.8160369,430.3033625,534.8884269,462.8069539,471.2037964,490.141066
Cambodia,887.5914595,837.3727938,877.5589049,877.6335222,972.6708417,1022.612236,1089.717695,1186.354986,1265.436827,1361.666849,1512.543236,1657.335437,1825.196689,2050.801427,2106.612655,2183.159134,2347.91239
Cameroon,1874.569802,1949.222981,1912.56056,1905.610287,1896.525222,1869.817762,1802.402283,1777.731165,1802.081895,1773.706321,1726.242089,1801.383216,1795.625615,1771.602273,1791.418505,1830.47824,1857.527158
Canada,28413.64108,28795.58033,29858.73825,30283.50304,31870.40107,33487.42629,33078.23872,32962.72813,33608.52433,34543.44383,35404.38863,35551.3794,35706.88507,35577.37523,33015.7189,34389.59554,35344.86947
Cape Verde,1687.012887,1876.52608,1865.90548,2040.45421,2352.993866,2331.715142,2402.790711,2498.268141,2736.820381,2918.278974,2875.43486,3059.175697,3431.312194,3747.737001,3660.826649,4075.057585,4125.808058
Central African Rep.,710.2167147,610.8668346,630.548752,644.8946512,665.4143326,667.8354047,660.9805016,646.8763386,593.701587,599.7907912,599.553334,587.1535879,602.0199748,625.4606247,600.1610572,605.0718122,617.2929552
Chad,941.4435631,820.8634704,810.280721,829.405362,837.1533099,784.1110884,819.9944146,836.4531563,982.935941,1470.842191,1720.355514,1923.814239,1843.287695,1889.357179,1696.184095,1970.205264,1851.121865
Channel Islands,,,,,,,,,,,,,,,,,
Chile,9894.882928,10121.85027,10110.3799,9822.962543,9361.160312,9467.994155,9293.332284,9267.644785,9571.146419,10630.20492,11437.08264,13049.40984,13674.21289,13060.90383,12802.62932,14436.44482,15243.32965
China,3058.427183,3131.752528,3295.771958,3238.572716,3370.631549,3533.295588,3753.03129,4136.951611,4450.785838,4879.752322,5342.468522,5973.496848,6609.964705,6720.853734,7188.65279,7679.093617,8068.599071
Colombia,6706.025723,6600.178464,6629.380414,6352.807268,5916.766456,6013.63007,5872.889302,5876.817369,5970.16448,6202.944491,6427.121745,6832.611918,7273.236616,7564.235024,7480.529819,7798.033452,8407.921058
Comoros,1054.825733,1010.227037,1000.736905,1007.607464,1007.951939,986.3322442,1023.041322,1050.449026,1024.811019,982.1673396,980.6268654,969.4400886,952.2441183,941.1590201,928.0349743,923.3368533,921.2841065
Congo. Dem. Rep.,300.1318392,273.0972413,264.3740234,236.8918831,241.3437232,218.8665392,203.6730573,199.2077527,227.4547959,230.2898864,223.4889904,255.7166015,270.7340919,254.3352776,245.6108614,275.4085647,290.6288206
Congo. Rep.,1203.871512,1424.526879,1269.135908,974.4236936,1206.429613,1820.177848,1613.907256,1640.002753,1588.795011,1859.198561,2314.726762,2531.751094,2104.845483,2251.675981,1874.217011,2379.308923,2426.871332
Costa Rica,7763.862716,7585.250064,7867.411085,8303.663753,8845.807311,8457.762131,8144.893376,8112.694653,8371.749448,8420.13438,8473.170389,8814.602152,9289.123188,9220.080576,9750.341342,9961.614256,10123.36
Cote d'Ivoire,2093.597712,2227.056715,2112.237573,2069.283904,1964.445459,1663.28105,1801.654329,1780.20596,1612.563932,1509.18478,1474.221563,1468.342535,1424.479455,1475.156904,1522.859206,1544.241391,1371.829571
Croatia,9237.630879,9892.147844,10946.5288,11600.00371,11637.15487,12016.00257,12331.21599,12862.6123,13583.9438,14353.97162,14631.97219,15631.91775,17281.34013,18139.98737,17503.67105,17174.4346,17215.82226
Cuba,,,,,,,,,,,,,,,,,
Cyprus,19090.8844,18865.16168,19120.12942,20293.80449,21282.18075,22212.43219,23443.44042,23248.60342,22846.02783,23702.49277,23804.34995,24829.67858,26526.50659,28746.07897,28155.88072,28576.84807,28183.24641
Czech Rep.,17407.40315,18216.31963,17657.08631,17543.26018,17466.37963,17762.97998,18782.19186,19161.74427,19579.37703,20505.77957,20781.06878,21836.46691,23706.29374,23561.38674,23349.98506,23184.28856,23254.23322
Czechoslovakia,,,,,,,,,,,,,,,,,
Denmark,26295.50873,27123.31784,28948.95963,30285.19849,30977.62719,32337.08368,32129.6032,32652.96635,31182.95554,32246.1289,31887.64901,33565.29818,34938.56941,35847.72715,33905.09166,35805.81812,35641.1692
Djibouti,2167.271808,1902.320365,2082.851718,2002.738058,1955.626027,1853.049625,1782.094266,1660.918102,1689.317909,1811.861945,1786.333511,2084.942478,2291.013603,2583.207294,2237.591842,2245.334529,2391.985489
Dominica,7501.613612,7754.825104,8135.645339,8652.755071,8751.659143,8772.887378,8803.318714,8639.879934,8889.483854,8972.706875,8967.0071,9488.055411,10077.53896,10278.19889,10928.68431,11252.48778,11329.30827
Dominican Rep.,4724.942086,4928.987596,5320.603687,5693.847804,5910.163578,6018.121345,6167.22019,6371.082923,6084.398048,6208.318056,6590.187633,7170.531146,7670.522782,7826.902076,8242.115044,8584.036433,8726.598876
Ecuador,4008.908028,4070.216022,4118.318743,3999.911791,3866.319919,4125.232796,4173.550386,4509.22818,4722.113583,5178.020091,5733.481781,6046.990133,6203.774565,6666.460582,6261.053638,6503.259625,6828.091936
Egypt,3378.287453,3989.435759,3989.637899,3861.849372,3908.12809,3930.711781,3956.95683,3918.982967,3920.419399,3969.967591,3972.008659,4119.773449,4334.24989,4512.951162,4489.951764,4708.003091,4836.366416
El Salvador,905.6329626,917.7521844,949.9189866,975.4920869,992.2321056,994.383193,1017.997061,1033.115222,1038.841546,1041.919042,1069.787985,1100.613131,1132.723361,1130.801029,1102.891763,1108.351911,1116.531512
Equatorial Guinea,469.4940166,752.9808895,1571.340788,1262.863292,2029.414798,3219.176972,4292.599772,7580.200721,6892.61237,10619.298,14388.62298,12557.58294,12382.3697,15067.30867,8161.006562,7250.922987,9175.824846
Eritrea,,,,,,,,,,,,,,,,,
Estonia,9152.984222,8285.195548,9314.713314,9913.183204,10370.94553,11340.10707,12040.28645,12876.88562,13721.98039,14745.43479,15830.47433,17615.70125,19885.72117,19914.61051,17864.76494,18755.89371,20101.94888
Ethiopia,476.851586,472.3282785,504.6592322,447.5879881,445.221806,434.7149674,437.5856732,404.1971975,382.2241854,426.5923972,490.4465852,536.7057158,612.2425721,646.7155477,713.4929828,755.0597462,782.7051744
Fiji,5269.104383,5483.096034,5452.891856,5067.31303,4860.469948,5081.888117,4805.451162,4732.782844,4713.027115,4564.429879,4652.823995,4728.95879,4635.486785,4599.923116,4543.430956,4417.231523,4644.739644
Finland,21678.60223,21835.70776,24028.26359,26236.74317,27394.04472,29033.42019,29224.28983,29376.42381,28588.29582,29935.37612,29925.83185,30994.1249,33526.1762,34487.7163,32014.94123,32876.88802,33747.32695
France,23255.93491,23511.89611,24809.6843,26410.03279,27423.42761,28771.64973,29660.36673,29976.61021,28384.05825,28762.70997,29039.83434,29750.68659,31216.87638,31299.69195,30485.69764,31235.16073,31437.94023
Gabon,7506.819188,8130.992915,6632.572723,5609.036846,6076.977923,7354.301271,6796.342793,6575.323987,7060.99879,7878.969727,10558.83103,10475.91264,10442.23777,12312.29767,11112.6115,13643.96752,12402.87879
Gambia,1091.780101,1104.989214,1083.908293,1090.877092,1132.287305,1168.61551,1189.658899,1139.991152,1126.226741,1244.499887,1189.097922,1175.531731,1197.930037,1302.051251,1302.221102,1317.520813,1236.291617
Georgia,2228.6532,2464.337688,2689.430711,2641.209574,2651.383223,2636.975249,2770.078646,2973.610324,3317.405601,3611.932764,3990.437558,4456.87666,5067.119279,5343.170711,5371.917445,5530.972212,5838.793996
Germany,25956.5728,26186.90425,27102.68913,28179.89484,29181.96398,29455.95823,29791.85428,29738.93605,29738.8851,30192.93047,30375.0491,31501.85559,32958.76813,33467.04068,32045.32557,33751.61667,34519.98279
Ghana,1423.672096,1407.14587,1500.759252,1470.202257,1595.324067,1660.576775,1541.716193,1536.678236,1665.530337,1752.769874,1726.504871,1740.740272,1844.296883,1987.723864,2073.327879,2354.445695,2522.365857
Greece,16541.71284,16921.08725,18086.93952,18840.74917,19427.11107,20260.49068,21314.20693,22563.18676,22977.19479,24091.47021,23661.83795,25130.89609,26028.56175,26891.88165,26505.64377,25658.28284,23698.64874
Greenland,,,,,,,,,,,,,,,,,
Grenada,5072.924675,5782.949993,6010.550865,6473.017139,6791.655487,7319.0388,7240.801257,7378.695054,7716.305201,7432.259704,7830.49258,7878.287673,8293.855689,8666.482007,8368.100687,8510.568534,8502.425951
Guatemala,3505.294513,3522.765788,3594.088841,3670.398653,3699.759303,3738.767343,3749.601823,3766.73879,3735.474479,3698.852362,3695.057037,3769.203896,3910.028806,4013.960256,4152.15329,4189.813821,4235.904288
Guinea,1877.292663,1961.943011,1717.855818,1509.612881,1411.392036,1243.920003,1180.01779,1068.043311,994.5988465,943.4204466,909.1976076,910.8469148,935.0269024,975.3356558,913.8956135,943.4906773,958.3188196
Guinea-Bissau,995.0219967,986.3979233,1071.410511,735.901526,785.2863387,767.4083361,808.3003114,751.4997691,810.2764401,827.5232878,806.5911291,793.6576983,830.536873,842.789448,887.7382771,884.3781552,906.6696257
Honduras,2587.135077,2593.213362,2614.543314,2635.082752,2456.885551,2570.905297,2589.930318,2623.939361,2647.298317,2673.324652,2764.002681,2861.573711,2907.566757,2845.783068,2869.870004,2873.520782,2919.840255
Hong Kong. China,27995.15743,29814.51669,30901.21568,28619.76413,27851.56794,29430.91162,29260.50968,30035.00897,30256.30501,31477.22029,33149.8489,34689.03305,36976.49687,37003.20238,35812.08636,37468.39284,38568.79302
Hungary,12227.57451,12124.4371,12486.22386,12832.72465,13160.99618,13727.06476,15155.10381,16143.19499,16105.23552,16474.85878,16500.5725,17182.63067,17715.95619,18455.0234,18206.52618,18757.34482,18852.00626
Iceland,26816.22961,27648.17854,29992.16519,32630.01,33762.63246,33563.71101,34149.44416,33489.50497,32313.08747,34849.38359,36281.29628,36972.93656,37158.04325,36867.60925,33343.48944,31341.31556,31921.61666
India,1456.442369,1546.738429,1612.024883,1694.757765,1778.143002,1830.997453,1890.424703,1957.515007,2091.489675,2209.993736,2415.485496,2597.170836,2822.962172,2953.371206,3155.29933,3432.036036,3601.681802
Indonesia,3712.039188,3996.158345,4048.611798,3628.654584,3380.539868,3181.145025,3161.343379,3056.013085,2983.570794,3147.723752,3327.273695,3439.845101,3537.42853,3767.827844,3856.66348,4064.384632,4339.48873
Iran,4341.588204,5049.638838,5145.021494,5105.593436,5722.242537,6202.310386,6509.49324,7428.906359,8152.651062,9007.237174,10449.19373,11078.49802,12173.37002,11077.85713,10782.33356,11397.34271,11818.46668
Iraq,1548.271959,2227.244825,2655.597896,3467.185715,4090.027122,4039.045542,4023.694289,3572.085775,2257.152048,3482.601312,3500.696877,3718.83203,3679.295089,3816.236505,3898.898657,4021.95269,4196.706901
Ireland,21053.22751,22551.88463,25279.43632,28198.72613,30146.49267,32496.70599,33341.46685,34922.08726,35165.96861,35819.1452,37204.0231,39783.54328,42817.27745,39239.77544,35730.38056,36033.56968,36704.6168
Israel,23040.7607,23941.7723,24473.83835,25151.82915,25860.04661,27800.79911,27574.41595,27145.99963,25572.75394,24898.47235,24460.42539,24512.89012,24444.01706,23805.67533,24112.43653,24522.47326,25081.19254
Italy,24892.19218,25325.12933,26439.76002,28009.68987,28804.2019,29575.03632,30231.1973,29105.2322,28526.26684,28403.29263,28145.98911,29066.08135,30408.3387,30758.34252,29507.9144,29383.40558,29089.05437
Jamaica,4917.181802,5050.749971,5017.142309,5009.496001,4980.610271,4928.53903,4924.813761,4910.804038,5037.533579,4991.481906,5033.776843,5117.615903,5256.910526,5231.384401,5162.43968,5063.407937,5078.143954
Japan,29157.21693,29781.22154,29987.97777,29264.48788,28931.57739,29551.81426,29710.31543,29789.19021,30138.78946,30648.66556,30707.37675,31048.09672,31683.24192,30954.462,29691.1863,30767.37617,30427.20908
Jordan,3191.427569,3109.070758,3082.20405,3076.86212,3121.014171,3152.382818,3283.665093,3497.481358,3514.45392,3755.554774,4186.224258,4381.527784,4524.085393,5140.77538,5101.627877,5277.466434,5092.497395
Kazakhstan,5328.41259,5363.255168,5056.741524,4690.884744,4709.536695,5439.558012,5815.892675,6198.291656,6936.025698,7826.158583,8983.953912,10641.10381,11829.78239,13152.46786,12176.51702,14034.49898,16270.30211
Kenya,1645.843442,1676.685621,1580.033251,1512.938954,1442.916599,1337.428106,1278.258099,1210.894456,1162.628542,1133.765133,1140.192506,1200.638066,1250.260444,1241.323581,1231.693991,1274.36484,1297.574328
Korea. Dem. Rep.,,,,,,,,,,,,,,,,,
